school_code,school_name,location,city,school_nature,school_level,is985,is211,is_double_first,description
13279,杭州电子科技大学信息工程学院,杭州,杭州市,民办,本科,0,0,0,杭州电子科技大学信息工程学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
10344,浙江中医药大学,杭州,杭州市,公办,本科,0,0,0,浙江中医药大学是教育部公布的普通高等学校（本科），位于杭州·杭州市。
13285,浙江中医药大学滨江学院,杭州,杭州市,民办,本科,0,0,0,浙江中医药大学滨江学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
11647,浙江传媒学院,杭州,杭州市,公办,本科,0,0,0,浙江传媒学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
10341,浙江农林大学,杭州,杭州市,公办,本科,0,0,0,浙江农林大学是教育部公布的普通高等学校（本科），位于杭州·杭州市。
14275,浙江外国语学院,杭州,杭州市,公办,本科,0,0,0,浙江外国语学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
10335,浙江大学,杭州,杭州市,公办,本科,1,1,1,浙江大学是教育部公布的普通高等学校（本科），位于杭州·杭州市。
13021,浙江大学城市学院,杭州,杭州市,民办,本科,0,0,0,浙江大学城市学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
10337,浙江工业大学,杭州,杭州市,公办,本科,0,0,0,浙江工业大学是教育部公布的普通高等学校（本科），位于杭州·杭州市。
13275,浙江工业大学之江学院,杭州,杭州市,民办,本科,0,0,0,浙江工业大学之江学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
10353,浙江工商大学,杭州,杭州市,公办,本科,0,0,0,浙江工商大学是教育部公布的普通高等学校（本科），位于杭州·杭州市。
13290,浙江工商大学杭州商学院,杭州,杭州市,民办,本科,0,0,0,浙江工商大学杭州商学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
11842,浙江树人学院,杭州,杭州市,民办,本科,0,0,0,浙江树人学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
11481,浙江水利水电学院,杭州,杭州市,公办,本科,0,0,0,浙江水利水电学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
10338,浙江理工大学,杭州,杭州市,公办,本科,0,0,0,浙江理工大学是教育部公布的普通高等学校（本科），位于杭州·杭州市。
13280,浙江理工大学科技与艺术学院,杭州,杭州市,民办,本科,0,0,0,浙江理工大学科技与艺术学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
11057,浙江科技学院,杭州,杭州市,公办,本科,0,0,0,浙江科技学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
11483,浙江警察学院,杭州,杭州市,公办,本科,0,0,0,浙江警察学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
11482,浙江财经大学,杭州,杭州市,公办,本科,0,0,0,浙江财经大学是教育部公布的普通高等学校（本科），位于杭州·杭州市。
14535,浙江音乐学院,杭州,杭州市,公办,本科,0,0,0,浙江音乐学院是教育部公布的普通高等学校（本科），位于杭州·杭州市。
10693,西藏农牧学院,林芝,林芝市,公办,本科,0,0,0,西藏农牧学院是教育部公布的普通高等学校（本科），位于林芝·林芝市。
10904,枣庄学院,枣庄,枣庄市,公办,本科,0,0,0,枣庄学院是教育部公布的普通高等学校（本科），位于枣庄·枣庄市。
10594,广西科技大学,柳州,柳州市,公办,本科,0,0,0,广西科技大学是教育部公布的普通高等学校（本科），位于柳州·柳州市。
13639,广西科技大学鹿山学院,柳州,柳州市,民办,本科,0,0,0,广西科技大学鹿山学院是教育部公布的普通高等学校（本科），位于柳州·柳州市。
11535,湖南工业大学,株洲,株洲市,公办,本科,0,0,0,湖南工业大学是教育部公布的普通高等学校（本科），位于株洲·株洲市。
12604,湖南工业大学科技学院,株洲,株洲市,民办,本科,0,0,0,湖南工业大学科技学院是教育部公布的普通高等学校（本科），位于株洲·株洲市。
10602,广西师范大学,桂林,桂林市,公办,本科,0,0,0,广西师范大学是教育部公布的普通高等学校（本科），位于桂林·桂林市。
13641,广西师范大学漓江学院,桂林,桂林市,民办,本科,0,0,0,广西师范大学漓江学院是教育部公布的普通高等学校（本科），位于桂林·桂林市。
10601,桂林医学院,桂林,桂林市,公办,本科,0,0,0,桂林医学院是教育部公布的普通高等学校（本科），位于桂林·桂林市。
11837,桂林旅游学院,桂林,桂林市,公办,本科,0,0,0,桂林旅游学院是教育部公布的普通高等学校（本科），位于桂林·桂林市。
10596,桂林理工大学,桂林,桂林市,公办,本科,0,0,0,桂林理工大学是教育部公布的普通高等学校（本科），位于桂林·桂林市。
13645,桂林理工大学博文管理学院,桂林,桂林市,民办,本科,0,0,0,桂林理工大学博文管理学院是教育部公布的普通高等学校（本科），位于桂林·桂林市。
10595,桂林电子科技大学,桂林,桂林市,公办,本科,0,0,0,桂林电子科技大学是教育部公布的普通高等学校（本科），位于桂林·桂林市。
13644,桂林电子科技大学信息科技学院,桂林,桂林市,民办,本科,0,0,0,桂林电子科技大学信息科技学院是教育部公布的普通高等学校（本科），位于桂林·桂林市。
11825,桂林航天工业学院,桂林,桂林市,公办,本科,0,0,0,桂林航天工业学院是教育部公布的普通高等学校（本科），位于桂林·桂林市。
10582,嘉应学院,梅州,梅州市,公办,本科,0,0,0,嘉应学院是教育部公布的普通高等学校（本科），位于梅州·梅州市。
11354,梧州学院,梧州,梧州市,公办,本科,0,0,0,梧州学院是教育部公布的普通高等学校（本科），位于梧州·梧州市。
11391,楚雄师范学院,"楚雄彝族
自治州","楚雄彝族
自治州",公办,本科,0,0,0,"楚雄师范学院是教育部公布的普通高等学校（本科），位于楚雄彝族
自治州·楚雄彝族
自治州。"
11395,榆林学院,榆林,榆林市,公办,本科,0,0,0,榆林学院是教育部公布的普通高等学校（本科），位于榆林·榆林市。
10524,中南民族大学,武汉,武汉市,公办,本科,0,0,0,中南民族大学是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10520,中南财经政法大学,武汉,武汉市,公办,本科,0,1,1,中南财经政法大学是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10491,中国地质大学（武汉）,武汉,武汉市,公办,本科,0,0,0,中国地质大学（武汉）是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10504,华中农业大学,武汉,武汉市,公办,本科,0,1,1,华中农业大学是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10511,华中师范大学,武汉,武汉市,公办,本科,0,1,1,华中师范大学是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10487,华中科技大学,武汉,武汉市,公办,本科,1,1,1,华中科技大学是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13262,文华学院,武汉,武汉市,民办,本科,0,0,0,文华学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13241,武昌工学院,武汉,武汉市,民办,本科,0,0,0,武昌工学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
12310,武昌理工学院,武汉,武汉市,民办,本科,0,0,0,武昌理工学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
12309,武昌首义学院,武汉,武汉市,民办,本科,0,0,0,武昌首义学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
11798,武汉东湖学院,武汉,武汉市,民办,本科,0,0,0,武汉东湖学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13686,武汉传媒学院,武汉,武汉市,民办,本科,0,0,0,武汉传媒学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10522,武汉体育学院,武汉,武汉市,公办,本科,0,0,0,武汉体育学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13253,武汉体育学院体育科技学院,武汉,武汉市,民办,本科,0,0,0,武汉体育学院体育科技学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13666,武汉华夏理工学院,武汉,武汉市,民办,本科,0,0,0,武汉华夏理工学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
11654,武汉商学院,武汉,武汉市,公办,本科,0,0,0,武汉商学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10486,武汉大学,武汉,武汉市,公办,本科,1,1,1,武汉大学是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13634,武汉学院,武汉,武汉市,民办,本科,0,0,0,武汉学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13242,武汉工商学院,武汉,武汉市,民办,本科,0,0,0,武汉工商学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
10490,武汉工程大学,武汉,武汉市,公办,本科,0,0,0,武汉工程大学是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13239,武汉工程大学邮电与信息工程学院,武汉,武汉市,民办,本科,0,0,0,武汉工程大学邮电与信息工程学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
13664,武汉工程科技学院,武汉,武汉市,民办,本科,0,0,0,武汉工程科技学院是教育部公布的普通高等学校（本科），位于武汉·武汉市。
